#ZVView-data-copy:  26-Feb-2021 18:27:25
#=======================================
#
#name:   ENDF/B-VIII.0: AL-27(N,G)AL-28
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  6537
#data...
#            X            Y
#          MeV        barns
     0.0906027   0.00299078 
     0.0906437   0.00304983 
     0.0906848   0.00312545 
     0.0907258    0.0032226 
     0.0907531   0.00330275 
     0.0907805   0.00339842 
     0.0908078   0.00351326 
     0.0908318   0.00363246 
     0.0908557   0.00377355 
     0.0908737   0.00389785 
     0.0908916   0.00404062 
     0.0909096   0.00420527 
     0.0909275   0.00439611 
     0.0909455   0.00461852 
     0.0909634   0.00487925 
     0.0909754   0.00507848 
     0.0909873    0.0053015 
     0.0909993   0.00555166 
     0.0910134    0.0058868 
     0.0910228   0.00613863 
     0.0910322    0.0064169 
     0.0910416   0.00672494 
      0.091051    0.0070664 
     0.0910604   0.00744556 
     0.0910698   0.00786737 
     0.0910782   0.00828629 
     0.0910857   0.00869245 
     0.0910931   0.00913521 
     0.0911006   0.00961779 
     0.0911081    0.0101437 
     0.0911155    0.0107165 
      0.091123    0.0113405 
     0.0911304    0.0120193 
     0.0911378     0.012744 
      0.091145    0.0135134 
     0.0911558    0.0147719 
     0.0911666    0.0161498 
     0.0911811    0.0181359 
     0.0911989    0.0206642 
     0.0912094    0.0220668 
     0.0912163     0.022912 
     0.0912233    0.0236502 
     0.0912303    0.0242512 
     0.0912372     0.024688 
     0.0912442    0.0249397 
     0.0912493    0.0249991 
      0.091255     0.024938 
     0.0912608    0.0247443 
     0.0912665    0.0244244 
     0.0912722    0.0239882 
     0.0912807    0.0231461 
     0.0912893    0.0221268 
     0.0912987    0.0208755 
      0.091328    0.0167264 
      0.091339    0.0152738 
